followers,genres,artist,popularity
106497.0,"['colombian rock', 'latin rock', 'rock en espanol']",Ekhymosis,39
586772.0,['deep southern trap'],Hd4president,39
135766.0,"['filmi', 'tamil pop']",Srikanth Deva,39
225970.0,['latin viral pop'],Skabeche,39
109628.0,"['latin', 'latin pop']",La Nueva Banda Timbiriche,39
106591.0,"['swedish pop', 'swedish soul']",Ansiktet,39
126982.0,['italian hip hop'],Cromo,39
129168.0,"['malaysian pop', 'rock kapak']",Projector Band,39
214860.0,"['k-pop', 'k-pop boy group']",Block B - BASTARZ,39
205522.0,['brazilian gospel'],Danielle Cristina,39
114006.0,"['bhangra', 'punjabi pop']",Manmohan Waris,39
106636.0,"['brazilian gospel', 'gospel antigas']",Elias Silva,39
147487.0,"['social media pop', 'teen pop']",Roadtrip,39
166923.0,"['brazilian gospel', 'gospel antigas']",Andrea Fontes,39
121418.0,['post-teen pop'],iCarly & Victorious Casts,39
134967.0,['k-pop'],SE7EN,39
140696.0,"['nordnorsk musikk', 'norwegian pop']",Sirkus Eliassen,39
157178.0,"['brazilian hip hop', 'brazilian reggae', 'rap nacional antigo']",SNJ,39
208327.0,['latin pop'],Myriam,39
109631.0,['malaysian pop'],Ayda Jebat,39
192453.0,"['boy band', 'post-teen pop']",Union J,39
101594.0,['forro'],Brasas do Forró,39
186161.0,"['adoracao', 'brazilian gospel']",Alda Célia,39
131512.0,"['brazilian gospel', 'coral gospel']",Coral Resgate,39
218283.0,"['k-pop', 'k-pop boy group']",KNK,39
141305.0,"['glam metal', 'hard rock', 'sleaze rock']",Sebastian Bach,39
148899.0,['pagode'],Gustavo Lins,39
123179.0,"['desi pop', 'pakistani pop']",Sarmad Qadeer,39
137164.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']","Galante ""El Emperador""",39
101719.0,"['g funk', 'gangster rap', 'west coast rap']",Bloods & Crips,39
173096.0,"['hip pop', 'pop r&b', 'urban contemporary']",Tynisha Keli,39
109131.0,"['classic pakistani pop', 'ghazal', 'naat', 'nasheed', 'pakistani pop', 'sufi']",Junaid Jamshed,39
122444.0,['gqom'],Distruction Boyz,39
146358.0,"['german techno', 'minimal tech house', 'minimal techno', 'tech house']",Loco Dice,39
152911.0,"['east coast hip hop', 'electro', 'hip hop', 'hip house', 'miami bass', 'old school hip hop', 'rap']",Fat Boys,39
177327.0,"['electro', 'hip hop', 'hip house', 'miami bass', 'new jack swing', 'old school hip hop', 'rap']",Kid 'N Play,39
102729.0,['filmi'],Rajesh Krishnan,39
210567.0,"['arab pop', 'classic arab pop', 'lebanese pop']",Majida El Roumi,39
106398.0,"['arab pop', 'classic arab pop', 'dabke', 'lebanese pop']",Assi El Helani,39
182581.0,['post-teen pop'],Jordan Pruitt,39
345750.0,"['classic bollywood', 'classic pakistani pop', 'filmi', 'ghazal', 'pakistani pop', 'sufi']",Mehdi Hassan,39
126082.0,"['gothic metal', 'gothic symphonic metal', 'norwegian metal', 'symphonic metal']",Tristania,39
265310.0,['post-teen pop'],Mitchel Musso,39
118297.0,"['deep turkish pop', 'turkish pop']",Emre Kaya,39
237275.0,['post-teen pop'],McClain Sisters,39
110119.0,['electro latino'],Critika y Saik,39
123288.0,"['classic progressive house', 'tech house']",John Digweed,39
205527.0,"['egyptian pop', 'mahraganat']",Oka Wi Ortega,39
108798.0,"['french hip hop', 'pop urbaine', 'rap francais']",Mafia Spartiate,39
121038.0,"['k-pop', 'k-pop girl group']",Crayon Pop,39
132236.0,"['pop reggaeton', 'vallenato', 'vallenato moderno']",Gusi & Beto,39
102152.0,['gospel'],Juanita Bynum,39
115709.0,['forro'],Samyra Show,39
201985.0,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",Nechivile,39
173150.0,"['k-pop', 'k-pop girl group']",ELRIS,39
137534.0,"['country rap', 'redneck']",Mud Digger,39
127157.0,"['classic colombian pop', 'musica popular colombiana']",Los Legendarios,39
130213.0,"['latin metal', 'reggae catala', 'spanish metal']",Stravaganzza,39
152873.0,['sertanejo pop'],Júlia & Rafaela,39
168355.0,['social media pop'],Indiana Massara,39
131987.0,"['social media pop', 'teen pop']",Niki & Gabi,39
159249.0,"['hip pop', 'pop r&b', 'r&b']",Dondria,39
410506.0,"['bhajan', 'gujarati garba', 'gujarati pop']",Lalitya Munshaw,39
107143.0,"['balearic', 'electronica', 'float house', 'microhouse']",John Talabot,39
115502.0,"['latin viral pop', 'spanish pop']",Auryn,40
198886.0,"['social media pop', 'teen pop']",In Real Life,40
191488.0,"['filmi', 'mollywood']",Vidhu Prathap,40
110138.0,['vallenato'],Silvio Brito,40
598458.0,"['filmi', 'modern bollywood', 'sufi']",Abhijeet Sawant,40
103785.0,"['rock viet', 'v-pop']",HuyR,40
150755.0,"['electropop', 'electropowerpop', 'strut']",Jeffree Star,40
313917.0,['sertanejo pop'],Kleo Dibah & Rafael,40
154111.0,"['vallenato', 'vallenato moderno']",Fabian Corrales,40
136196.0,['social media pop'],Brooke Butler,40
278692.0,"['j-pop boy group', 'k-pop', 'k-pop boy group']",BOYFRIEND,40
229076.0,"['hip pop', 'pop r&b', 'r&b', 'urban contemporary']",Tiffany Evans,40
124930.0,"['francoton', 'pop urbaine']",Doks,40
112202.0,['nigerian pop'],StarBoy,40
101142.0,"['neo soul', 'r&b', 'smooth soul', 'urban contemporary']",Anthony David,40
363643.0,"['k-pop', 'k-pop boy group']",UP10TION,40
136807.0,"['latin arena pop', 'latin viral pop']",EME-15,40
145116.0,['anime'],SawanoHiroyuki[nZk],40
169495.0,"['banda', 'banda carnavalera', 'nuevo regional mexicano', 'regional mexican']",Cuisillos,40
103090.0,"['opm', 'pinoy indie', 'pinoy rock']",Barbie's Cradle,40
102561.0,"['classic peruvian pop', 'peruvian indie', 'peruvian rock']",Los Mojarras,40
161372.0,"['new jack swing', 'r&b', 'urban contemporary']",Jesse Powell,40
125428.0,['post-teen pop'],Rags Cast,40
190378.0,"['indonesian folk', 'indonesian indie']",Senar Senja,40
272876.0,"['filmi', 'tollywood']",Ramana Gogula,40
442236.0,['latin viral pop'],Lulu99,40
172091.0,['j-pop boy group'],EXILE TRIBE,40
121051.0,"['deathcore', 'melodic metalcore', 'progressive deathcore']",Oceano,40
142408.0,"['ccm', 'christian alternative rock', 'christian music', 'worship']",Point Of Grace,40
111077.0,['cumbia sonidera'],Los Yaguaru de Angel Venegas,40
118670.0,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']",The Vaughan Brothers,40
192501.0,"['classic bhangra', 'punjabi pop']",Harbhajan Mann,40
168949.0,"['atl hip hop', 'dirty south rap', 'gangster rap', 'rap', 'southern hip hop', 'trap']",U.S.D.A.,40
130124.0,['social media pop'],Guava Juice,40
131244.0,"['gujarati garba', 'gujarati pop']",Jigardan Gadhavi,40
123475.0,['limerick indie'],Dolores O'Riordan,40
144746.0,['latin viral pop'],CRACKS,40
150449.0,['moroccan pop'],Rajaa Belmir,40
116857.0,"['glam metal', 'hard rock', 'sleaze rock']",Vince Neil,40
132103.0,"['antiviral pop', 'comic']",Smosh,40
120623.0,['talent show'],Tulisa,40
140818.0,"['pagode', 'pagode novo']",Chininha & Príncipe,40
122605.0,['pop teen brasileiro'],Rebeldes,40
