year,category,nominee,workers,artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo
1970,Best Rhythm & Blues Song,Color Him Father,"Richard Spencer, songwriter (The Winstons)",['Linda Martell'],0.879,0.236,0.594,161947,0.581,0.0,0.234,-7.925,32,0.0258,94.419
1970,Best Country Performance By A Duo Or Group With Vocal,MacArthur Park,,['Glen Campbell'],0.206,0.607,0.281,291227,0.428,0.028,0.105,-7.2810000000000015,34,0.0279,80.043
1969,Record Of The Year,Mrs. Robinson,"Roy Halee & Simon And Garfunkel (Art Garfunkel & Paul Simon), producers","['Frank Sinatra', 'Don Costa']",0.89,0.485,0.456,176533,0.532,0.0,0.0605,-5.871,36,0.0361,156.562
1969,Record Of The Year,Mrs. Robinson,"Roy Halee & Simon And Garfunkel (Art Garfunkel & Paul Simon), producers",['Paul Desmond'],0.6990000000000001,0.7809999999999999,0.541,160787,0.338,0.85,0.0825,-15.814,36,0.0477,100.376
1969,Best Contemporary Pop Performance - Vocal Duo Or Group,Mrs. Robinson,,"['Frank Sinatra', 'Don Costa']",0.89,0.485,0.456,176533,0.532,0.0,0.0605,-5.871,36,0.0361,156.562
1969,Best Contemporary Pop Performance - Vocal Duo Or Group,Mrs. Robinson,,['Paul Desmond'],0.6990000000000001,0.7809999999999999,0.541,160787,0.338,0.85,0.0825,-15.814,36,0.0477,100.376
1969,Album Of The Year,By The Time I Get To Phoenix,"Al De Lory, producer",['Dorothy Ashby'],0.718,0.458,0.596,210187,0.688,0.807,0.0701,-9.328,24,0.0418,101.638
1969,Song Of The Year,Little Green Apples,"Bobby Russell, songwriter (Roger Miller AND ALSO O.C. Smith)",['Dean Martin'],0.159,0.8909999999999999,0.413,259507,0.175,0.000295,0.339,-12.838,21,0.044,124.933
1969,Best Country Song,Little Green Apples,"Bobby Russell, songwriter (Roger Miller AND ALSO O.C. Smith)",['Dean Martin'],0.159,0.8909999999999999,0.413,259507,0.175,0.000295,0.339,-12.838,21,0.044,124.933
1969,Best Engineered Recording (Non-Classical),Wichita Lineman,"Hugh Davies & Joe Polito, engineers (Glen Campbell)",['Smokey Robinson & The Miracles'],0.578,0.368,0.283,171600,0.424,9.04e-06,0.316,-14.043,26,0.0383,176.55700000000004
1969,Best Engineered Recording (Non-Classical),Wichita Lineman,"Hugh Davies & Joe Polito, engineers (Glen Campbell)","[""Sergio Mendes & Brasil '66""]",0.667,0.645,0.319,167467,0.327,0.00906,0.117,-14.564,24,0.029,100.06
1969,"Best Contemporary Pop Vocal Performance, Male",Light My Fire,,['Stevie Wonder'],0.591,0.00719,0.517,220293,0.635,2.730000000000001e-05,0.11,-9.294,33,0.0299,102.868
1969,"Best Contemporary Pop Vocal Performance, Male",Light My Fire,,['Astrud Gilberto'],0.485,0.575,0.623,175680,0.546,0.00572,0.0585,-9.683,32,0.0459,98.732
1969,"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",Cloud Nine,,['The Temptations'],0.82,0.354,0.736,211693,0.45,0.0,0.0689,-14.104,43,0.0583,118.042
1969,"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",Cloud Nine,,['Gladys Knight & The Pips'],0.901,0.211,0.488,194067,0.7040000000000001,0.0,0.0596,-9.516,21,0.0418,126.253
1969,"Best Country Vocal Performance, Female",Harper Valley P.T.A.,,['Loretta Lynn'],0.961,0.784,0.778,190933,0.56,8.290000000000001e-05,0.173,-10.554,24,0.0395,127.063
1969,Best Folk Performance,Both Sides Now,,['Joni Mitchell'],0.329,0.912,0.623,274560,0.156,0.0,0.141,-15.098,59,0.0308,97.235
1969,Best Folk Performance,Both Sides Now,,['Neil Diamond'],0.305,0.238,0.405,210440,0.247,0.000343,0.105,-17.695999999999994,30,0.0309,108.615
1969,Best Folk Performance,Both Sides Now,,['Gábor Szabó'],0.519,0.931,0.524,177440,0.311,0.902,0.111,-21.462,25,0.0343,107.636
1968,Record Of The Year,"Up, Up And Away","Marc Gordon & Johnny Rivers, producers",['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,Song Of The Year,"Up, Up And Away","Jimmy L. Webb, songwriter (5th Dimension)",['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,Best Performance By A Vocal Group,"Up, Up And Away",,['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,Best Performance By A Chorus,"Up, Up And Away",,['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,Best Contemporary Single,"Up, Up And Away",,['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,Best Contemporary Group Performance (Vocal Or Instrumental),"Up, Up And Away",,['Engelbert Humperdinck'],0.574,0.69,0.318,154707,0.5529999999999999,0.0,0.298,-8.75,28,0.0344,164.90400000000002
1968,"Best Vocal Performance, Female",Ode To Billie Joe,,"['Nancy Wilson', 'Sweet']",0.612,0.7829999999999999,0.418,319067,0.531,2.11e-06,0.127,-11.441,44,0.1,94.066
