artists,valence,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,popularity
The Cercados,0.14650000000000002,0.8170000000000001,0.4735,244573.5,0.42200000000000004,1.7e-06,0.10900000000000001,-7.134,0.028200000000000003,134.6865,0.0
Psycho Motion,0.244,0.215,0.679,459581.0,0.511,0.226,0.0753,-8.965,0.0467,93.975,0.0
Stan Getz & Bob Brookmeyer,0.6409999999999999,0.634,0.479,422000.0,0.404,0.000392,0.109,-16.113,0.0361,106.9,0.0
Eltjo Haselhoff,0.61,0.925,0.795,84233.0,0.185,0.517,0.119,-14.826,0.0892,112.177,0.0
Stan Freeman,0.2335,0.988,0.47,198200.0,0.2925,0.916,0.136,-14.035,0.0328,114.55000000000001,0.0
Else Marie & Ellen Gottschalch m.fl.,0.406,0.995,0.581,405440.0,0.182,0.327,0.218,-15.675,0.094,112.756,0.0
Pyari,0.883,0.921,0.586,188953.0,0.356,2.03e-06,0.43,-9.497,0.119,125.268,0.0
Psychonaut,0.143,0.000623,0.813,522353.0,0.329,0.57,0.0728,-12.632,0.0775,136.00799999999998,0.0
Helen Gallagher,0.4345,0.9365,0.5609999999999999,114920.0,0.16649999999999998,0.0,0.412,-11.565999999999999,0.03615,109.9255,0.0
Punnamoyee Dasi,0.441,0.9956666666666667,0.4263333333333334,185435.33333333334,0.07163333333333334,0.8336666666666667,0.165,-15.982666666666667,0.08700000000000001,76.77433333333335,0.0
Lunatique Sublime,0.506,0.00227,0.784,362919.0,0.802,0.8809999999999999,0.333,-8.402999999999999,0.0555,126.965,0.0
Elmer Bernstein conducting The United Artists Studio Orch.,0.07336666666666668,0.9366666666666666,0.23666666666666666,214503.33333333334,0.24733333333333332,0.868,0.11566666666666665,-14.169666666666666,0.03693333333333334,103.13666666666667,0.0
Purba Dam,0.335,0.971,0.245,283821.0,0.239,0.00515,0.0798,-11.220999999999998,0.0302,85.634,0.0
Purnakumari Dasi,0.42700000000000005,0.9956666666666667,0.4176666666666667,188448.66666666666,0.18833333333333332,0.5756666666666667,0.27099999999999996,-11.775333333333334,0.051833333333333335,131.15633333333332,0.0
Helge Jacobsens Kvartet,0.921,0.825,0.8420000000000001,151173.0,0.34,0.022,0.168,-17.090999999999998,0.0498,105.933,0.0
Purshottam,0.42,0.989,0.3670000000000001,193486.0,0.262,1.21e-05,0.452,-10.532,0.0818,176.206,0.0
Pt. Gobindram,0.621,0.981,0.602,208585.0,0.3,0.000297,0.249,-8.216000000000001,0.275,137.661,0.0
St.Tsitsis & St. Stathis,0.741,0.965,0.304,204560.0,0.337,0.718,0.118,-10.446,0.0302,64.638,0.0
