genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
american metalcore,0.257805,40.74999999999999,230631.0,92.80000000000001,0.026612499999999997,18.5425,-462.5000000000001,20.14,151.46099999999996,21.29,44.0
american modern classical,89.06899671532346,39.73823574849173,280077.85890892945,26.684597948926843,41.9244293047126,23.24952150490897,-1760.1216754556244,13.1171136064159,117.09688837919882,40.15047579500618,8.804251166944681
american oi,53.82361999999999,49.552000000000014,158653.27999999994,51.652,32.33761200000001,34.9756,-1255.9320000000002,4.590000000000001,142.33868,79.18399999999998,26.72000000000001
american orchestra,87.73235141712308,26.72358330558825,343928.5888429489,17.59945011458157,55.13107056471637,23.903808549231982,-2182.657546208027,5.46432133842804,101.77994512400936,21.27989448922158,23.995722638899714
american post-rock,31.207295833333333,45.66979166666666,300117.2604166666,45.05552083333334,67.65515833333333,16.027916666666663,-1317.078125,4.3067708333333306,111.22938541666664,23.71072916666667,47.51041666666667
american primitive,66.02178279569893,34.902724014336926,328638.67383512546,37.24985663082437,84.19738351254479,12.93662007168458,-1471.2518279569895,4.17268817204301,120.15716272401431,37.67143369175625,22.87849462365591
american romanticism,95.45708041958042,31.73994755244756,187616.50524475524,14.34371503496503,48.49568627972029,14.391923076923069,-1962.419405594405,4.28595279720279,115.72976311188808,23.466905594405592,16.46153846153846
american shoegaze,19.400142000000002,37.04,339934.8,71.58,63.25999999999999,15.913333333333329,-932.0466666666666,3.63066666666666,110.41086666666668,41.42,45.06666666666666
anadolu rock,55.88999999999999,53.21,252515.3,47.199999999999996,17.4072,17.69,-1311.44,7.428,98.6146,63.17999999999999,41.2
anarcho-punk,5.61828678205128,28.62726495726495,205265.3316239316,86.06162393162394,0.9358304427350399,28.68564102564103,-956.5661538461541,12.65423076923077,177.9410769230769,51.94268376068377,39.04358974358974
anglican liturgy,93.3919191919192,23.92565656565657,218504.58585858587,13.456414141414141,36.80460555555555,13.8190404040404,-2154.920202020202,6.01651515151515,86.86002525252525,27.06393939393939,21.21212121212121
animal singing,80.6,79.9,126286.5,63.949999999999996,0.0,19.35,-598.75,4.234999999999999,114.6885,90.25,11.0
anime,12.659077621972619,48.36419202644202,240516.82043992047,82.71425737100738,9.15275815684889,18.0590817977068,-483.37139025389047,7.66524428161927,133.086681964432,45.73374254124256,55.960329647829646
anime latino,28.0674382,49.878,230376.22000000003,86.19,0.00044832,26.5878,-325.22,5.1698,142.34088,58.61959999999999,57.3
anime rock,8.61238968253968,50.16576719576721,233282.091005291,86.13870370370368,2.19136133333333,22.87392592592593,-373.3998148148148,8.00457936507936,134.97291772486773,52.43174603174603,59.07222222222222
anime score,30.01385636021496,47.35439909670027,223791.40982048973,64.7054981249025,30.08432606336703,16.68462409711565,-846.3057128094625,7.36475151891989,123.06658317640937,37.491254334718974,50.53980281174044
ann arbor indie,27.77699999999999,54.73723076923077,217904.9846153846,45.047076923076915,12.48526798461538,13.048092307692299,-880.2236923076924,6.03372307692307,89.71947076923075,35.18830769230769,53.57230769230769
anthem emo,13.7116346313364,50.88797235023041,209948.9689708141,73.0910752688172,1.50137989247311,21.60917665130568,-601.8700307219661,7.80191705069124,130.43316113671276,42.86671274961597,51.12964669738862
anthem worship,21.43777071479059,47.36439744173603,295393.9840439689,60.447178157582634,1.8875253730141401,22.28770242280714,-750.4177604929938,4.7725613725463205,122.93612993328104,32.793953668178325,53.03484529461593
anti-folk,44.78504474790855,51.22209371908249,222971.8225081433,52.95718562146995,14.78188595302932,17.97501785717589,-970.9752455580808,5.72956949872782,121.43844573824228,50.13088334543563,44.37824682273646
antilliaanse folklore,95.0,58.3,190787.0,56.60000000000001,84.7,10.9,-1500.2,4.760000000000001,124.095,93.2,0.0
antiviral pop,17.76613627988678,66.0696595071595,206002.6288711289,72.29747335997338,1.9154896963869399,21.84725899100899,-671.8926989676992,10.77311105561105,123.82994014319016,61.22801781551782,54.3221361971362
appalachian folk,78.95768912437671,55.051551885540306,183226.35682643027,33.28343937305261,10.19588765571133,19.723834796141578,-1328.6964224022545,6.848259106079641,121.15910383360968,64.13043110775416,19.271003039359783
arab folk,83.66269163292849,39.391671924566666,367517.46227675845,28.08800651979599,35.30875701304617,25.259682138037398,-1609.7358330266225,6.61276839388681,103.56169157158628,43.620343428501315,21.271099514520568
arab groove,41.222833333333334,54.36666666666666,212859.16666666663,42.241666666666674,46.92515625,19.04166666666666,-1297.525,3.4641666666666597,111.64358333333334,50.349999999999994,38.833333333333336
arab pop,47.87710884353741,57.89103741496601,286914.0157312925,54.11381802721089,5.5004914903061195,17.02254251700679,-956.0584948979592,5.38875765306122,119.62892823129248,60.27473639455783,35.188775510204074
arabesk,56.31999999999999,41.5,226634.2,57.14,0.0099226,10.427999999999999,-871.86,4.948,142.2314,48.26,43.6
arabic hip hop,78.0,35.099999999999994,493796.0,60.6,0.0,53.5,-91.0,3.11,87.889,51.300000000000004,0.0
arabic jazz,90.76666666666668,48.78333333333333,397971.33333333326,17.18333333333333,33.96255,12.63333333333333,-1911.4,4.5783333333333305,118.93916666666668,38.6,36.16666666666667
argentine ambient,83.41666666666666,47.56666666666666,162273.16666666663,35.37299999999999,52.000158333333324,13.633333333333331,-1439.3166666666666,3.855,144.23033333333333,29.95,54.83333333333334
argentine hardcore,1.081,69.0,239713.5,65.35,1.150665,37.26,-974.2,5.555000000000001,109.5345,65.5,47.5
argentine heavy metal,5.01025,58.375,316881.25,75.9375,8.593275,14.92,-725.5749999999999,12.72625,145.01850000000005,50.737500000000004,52.625
argentine hip hop,34.49875,73.7125,303028.04166666674,69.04791666666667,7.758333333333331e-05,10.94875,-495.54375000000005,15.53416666666666,139.72464583333334,59.835416666666674,74.97916666666667
argentine indie,29.21151428571428,55.785714285714285,295973.4142857143,56.463142857142856,16.360000857142857,16.835142857142852,-1261.331428571429,4.91414285714285,101.24104285714289,59.46142857142858,51.1
argentine metal,1.8499999999999999,62.0,293360.0,81.6,0.74099999999999,9.84,-620.7999999999997,22.2,179.99200000000005,66.8,49.0
argentine punk,3.64683333333333,57.10000000000001,243449.16666666663,78.64999999999999,0.49088833333333004,40.62,-797.4833333333332,5.779999999999999,108.19316666666668,57.81666666666666,50.16666666666666
argentine reggae,8.30244444444444,75.23425925925925,237022.5185185185,53.895370370370365,0.0319994074074,10.97657407407407,-786.3740740740742,7.218703703703699,128.0917777777778,75.69074074074075,60.27777777777778
argentine rock,23.38865029542982,58.552646293974576,261144.0876276185,62.70374086373794,5.42357839285903,20.43738449275893,-938.7355544835394,4.83543277109977,116.4855398368688,58.662638861639884,55.63371341720182
argentine telepop,19.400000000000002,62.2,201773.0,69.7,0.0,30.5,-1115.8,2.88,138.013,84.3,59.0
arizona punk,3.678,49.03333333333333,235542.33333333328,93.96666666666668,3.9999999999999996e-05,19.31,-379.5666666666667,9.50333333333333,116.578,44.43333333333333,49.0
arkansas country,53.022527230318985,57.495687756204774,189181.4192774825,49.08733883173265,0.8936788133479199,22.51949538683529,-972.4140923208394,5.25619854771702,115.01379399311944,60.16882580456942,38.81333743435043
arkansas hip hop,17.76833333333333,67.45,228268.83333333328,67.35000000000001,0.0,25.21333333333333,-535.9666666666667,19.76666666666666,149.661,37.38333333333334,64.83333333333333
arkansas indie,23.65,43.00000000000001,265170.5,50.4,10.766499999999999,17.1,-1019.35,3.125,100.529,16.85,50.0
armenian folk,99.3,13.69999999999999,292000.0,12.8175,91.5,11.675,-1949.5249999999999,4.6875,87.93799999999996,4.45,37.0
art pop,33.830742387509524,53.9091243531713,253557.0743622468,53.87304519147822,20.36786836700206,16.98784614663996,-983.4776589336713,5.41889099777296,120.42871675141664,41.83113668460192,50.09396319551784
art punk,16.47652383199996,54.92970916563718,222741.9486153873,72.00015723101647,20.021631558793292,22.11822239075338,-924.317246040222,7.67543761390978,127.48230490904744,61.62230973854128,34.95197102763386
art rock,29.657755870645353,49.771198578140954,276878.3248675955,56.642727981756934,19.00378010049796,19.19497117149578,-1141.248705038165,5.5925328553644595,120.91833433140066,51.786034956277994,36.804587762338464
art song,98.75466155810983,34.07063005534269,242920.83386547468,11.11799063431247,9.237752240102171,11.89526287782034,-1944.371200510856,5.05823329076202,114.95943965517242,19.79045232013623,18.357705406555983
asbury park indie,0.0969,55.7,226853.0,81.5,0.188,9.32,-540.2,3.2800000000000002,88.929,44.5,50.0
asheville indie,60.06666666666667,54.79999999999999,257521.66666666663,51.7,31.23333333333333,12.16666666666666,-779.2333333333335,3.42,106.58766666666666,53.93333333333333,47.0
